sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,countries,country_of_manufacture,creareseo_discontinued,creareseo_discontinued_product,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery_time,description,designer,director,edition,featured,filmtitle,gallery,gift_message_available,has_options,image,image_label,known,media_gallery,meta_autogenerate,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,poster_condition,price,print_tech,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,starring,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
PosterLK00100,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1992,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00100.jpg,,,,,,,,,,,,Malibu Jazz Fest,,,,,mint,130.0000,digital reprint,0,Malibu Jazz Fest,"ca. 58x68,5 cm",/k/o/konopelski-posterlk00100.jpg,,,,,,1,2,/k/o/konopelski-posterlk00100.jpg,,2014-11-06 18:58:50,leonard-konopelski/malibu-jazz-fest,leonard-konopelski/malibu-jazz-fest.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00100.jpg,,0,1,,,,,,,,,,,,,,,,
PosterLK00101,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,197?  / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00101.jpg,,,,,,,,,,,,"Krakowiacy i Górale, czyli cud mniemany",,,,,mint,130.0000,digital reprint,0,"Krakowiacy i Górale, czyli cud mniemany","ca. 70x101,5 cm",/k/o/konopelski-posterlk00101.jpg,,,,,,1,2,/k/o/konopelski-posterlk00101.jpg,,2014-11-06 18:58:50,leonard-konopelski/krakowiacy-i-gorale,leonard-konopelski/vermeintliche-wunder.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00101.jpg,,0,1,,,,,,,,,,,,,,,,
,,,,OPERA,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pretended Miracle, or Krakovians and Highlanders",,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/pretended-miracle,leonard-konopelski/pretended-miracle.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vermeintliche Wunder oder Die Krakauer und die Bergbauern,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/vermeintliche-wunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/krakowiacy-i-gorale.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00102,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1972 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00102.jpg,,,,,,,,,,,,Yerma Federico García Lorca,,,,,mint,130.0000,digital reprint,0,Yerma Federico García Lorca,ca. 70x100 cm,/k/o/konopelski-posterlk00102.jpg,,,,,,1,2,/k/o/konopelski-posterlk00102.jpg,,2014-11-06 18:58:50,leonard-konopelski/yerma-garcia-lorca,leonard-konopelski/yerma-garcia-lorca.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00102.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/yerma-federico-garcia-lorca,leonard-konopelski/yerma-federico-garcia-lorca.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00104,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1975 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00104.jpg,,,,,,,,,,,,Grupa Laokoona Tadeusz Różewicz,,,,,mint,130.0000,digital reprint,0,Grupa Laokoona Tadeusz Różewicz,"ca. 72,5x91,5 cm",/k/o/konopelski-posterlk00104.jpg,,,,,,1,2,/k/o/konopelski-posterlk00104.jpg,,2014-11-06 18:58:50,leonard-konopelski/grupa-laokoona-tadeusz-rozewicz,leonard-konopelski/grupa-laokoona-tadeusz-rozewicz.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00104.jpg,,0,1,,,,,,,,,,,,,,,,
PosterLK00105,,Default,simple,OTHER POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1979 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00105.jpg,,,,,,,,,,,,Moscow 80 Moscow Fly To Moscow,,,,,mint,130.0000,digital reprint,0,Moscow 80 Moscow Fly To Moscow,"ca. 66,5x100 cm",/k/o/konopelski-posterlk00105.jpg,,,,,,1,2,/k/o/konopelski-posterlk00105.jpg,,2014-11-06 18:58:50,leonard-konopelski/fly-to-moscow,leonard-konopelski/fly-to-moscow.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00105.jpg,,0,1,,,,,,,,,,,,,,,,
